ID;TIMESTAMP;X;Y;Z
1419525996057;0;226.59178;-72.49398;-0.30759904
1419525996097;1;227.01598;-71.91307;0.44186127
1419525996181;2;226.96992;-72.17888;0.21243645
1419525996257;3;227.23123;-72.29623;0.33174586
1419525996325;4;227.4848;-72.465546;0.49779215
1419525996377;5;227.61617;-72.51938;0.68484694
1419525996456;6;227.83313;-72.42244;0.60476816
1419525996497;7;228.03467;-72.2382;0.6684653
1419525996578;8;228.17113;-71.99002;0.84599066
1419525996656;9;228.42738;-71.80843;1.1716197
1419525996739;10;228.35606;-71.95824;1.1669143
1419525996799;11;228.21178;-72.21065;1.1064587
1419525996856;12;228.17387;-72.34391;1.0185902
1419525996899;13;228.15797;-72.58852;1.2026268
1419525996981;14;228.16837;-72.82988;1.32091
1419525997058;15;228.12468;-72.97533;1.3749039
1419525997128;16;228.14378;-72.8139;1.4807842
1419525997178;17;227.95876;-72.51894;1.6404223
1419525997257;18;227.85919;-72.39537;1.7454072
1419525997306;19;227.6864;-72.69784;1.6263242
1419525997379;20;227.63173;-72.732475;1.5364269
1419525997458;21;227.49672;-72.82369;1.4213357
1419525997509;22;227.41304;-72.6508;1.170284
1419525997594;23;227.17908;-72.41298;1.3148159
1419525997660;24;227.08023;-72.19498;1.3753531
1419525997737;25;227.03227;-72.18691;1.3373204
1419525997778;26;226.80159;-72.572296;1.265556
1419525997857;27;226.69203;-72.55611;1.4146196
1419525997937;28;226.64084;-72.57686;1.193433
1419525997978;29;226.6689;-72.43841;1.09
1419525998057;30;226.51112;-72.64776;0.9074815
1419525998137;31;226.4528;-72.59168;1.0828731
1419525998181;32;226.30095;-72.61433;1.2596481
1419525998258;33;226.22537;-72.47569;1.2853531
1419525998367;34;226.11613;-72.30892;1.2070435
1419525998383;35;226.1426;-72.29412;1.3980377
1419525998465;36;226.1267;-72.334496;1.1655941
1419525998537;37;226.10402;-72.43703;1.0313306
1419525998581;38;226.30147;-72.176254;1.3070667
1419525998658;39;226.24318;-72.22397;1.2499708
1419525998740;40;226.22917;-72.26112;1.2538753
1419525998794;41;226.2424;-72.23568;1.3491604
1419525998858;42;226.24423;-72.21732;1.3866535
1419525998940;43;226.24196;-72.14422;1.3857961
1419525998981;44;226.3188;-72.145966;1.3883257
1419525999057;45;226.48506;-72.146355;1.3816814
1419525999136;46;226.45773;-72.23494;1.3480947
1419525999182;47;226.4902;-72.19997;1.35981
1419525999260;48;226.48312;-72.119774;1.3557483
1419525999337;49;226.41489;-72.09335;1.2837527
1419525999417;50;226.40237;-72.15244;1.1625302
1419525999457;51;226.37708;-72.1597;1.149779
1419525999540;52;226.3489;-72.15687;1.1356616
1419525999620;53;226.28345;-72.106834;1.0665358
1419525999670;54;226.15501;-72.167854;0.8583632
1419525999737;55;225.89984;-72.28793;0.8078862
1419525999817;56;225.70367;-72.45735;0.64045626
1419525999857;57;225.60191;-72.40191;0.5881528
1419525999937;58;225.58415;-72.41659;0.55810356
